name,price,category,ul,img
Blue Waters 1.5L,$2.50,grocery-food,https://www.shopmassystoresslu.com/product/water-3/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0068978488105-1.jpg
Blue Waters 710ML,$1.40,grocery-food,https://www.shopmassystoresslu.com/product/water-regular/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0068978488650.jpg
Nissin Top Ramen Chicken 85G,$2.49,grocery-food,https://www.shopmassystoresslu.com/product/noodles-chicken/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0007066201003-1.jpg
Forest Spring Mineral Water 1.5L,$3.25,grocery-food,https://www.shopmassystoresslu.com/product/forest-spring-mineral-water-1-5l/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-60.jpg
Seabelle Tuna Fish In Oil 200G,$5.90,grocery-food,https://www.shopmassystoresslu.com/product/seabelle-tuna-fish-in-oil-200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0496771401001.jpg
Brunswick Sardines Oil 106G,$4.97,grocery-food,https://www.shopmassystoresslu.com/product/sardines-in-soya-oil/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0006661300005-1.jpg
Carnation Evaporated Milk 395G,$4.55$2.99,grocery-food,https://www.shopmassystoresslu.com/product/carnation-evaporated-milk-395g/,https://www.shopmassystoresslu.com/wp-content/uploads/0761303004806.jpg
Brunswick Vienna Chicken Sausage 141G,$3.00,grocery-food,https://www.shopmassystoresslu.com/product/vienna-sausages-chicken/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0006661348701.jpg
Tenderoni Chowmein 300G,$2.95,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-chowmein-noodles-300g/,https://www.shopmassystoresslu.com/wp-content/uploads/0049990100007.jpg
Seabelle Tuna Fish 100G,$3.05,grocery-food,https://www.shopmassystoresslu.com/product/seabelle-tuna-fish-100g/,https://www.shopmassystoresslu.com/wp-content/uploads/0496771401008.jpg
Drummond Lentils 454G,$4.90,grocery-food,https://www.shopmassystoresslu.com/product/drummond-lentils-454g/,https://www.shopmassystoresslu.com/wp-content/uploads/0077572691115.jpg
Silk Pure Almond Milk Unsweetened 946ML,$13.99,grocery-food,https://www.shopmassystoresslu.com/product/pure-almond-milk-unsweetened-original/,https://www.shopmassystoresslu.com/wp-content/uploads/0002529300170.jpg
Fruta Kool Kidz Apple Drink 200Ml,$1.25,grocery-food,https://www.shopmassystoresslu.com/product/fruta-kool-kd-apple-200ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0003361311575.jpg
Pinehill Orange Unsweetened Juice 1L,$9.49,grocery-food,https://www.shopmassystoresslu.com/product/phd-tga-unsw-orange-juice/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/03/0073755145520.jpg
People’s Choice Flour 1KG,$3.79,grocery-food,https://www.shopmassystoresslu.com/product/pchoice-flour-1kg/,https://www.shopmassystoresslu.com/wp-content/uploads/79096010325-1.jpg
Elle & Vire 1/2 Skimmed Milk 1L,$5.15,grocery-food,https://www.shopmassystoresslu.com/product/elle-vire-semi-skimmed-milk/,https://www.shopmassystoresslu.com/wp-content/uploads/0345179134041.jpg
Seabelle Tuna Fish In Water 200G,$5.75,grocery-food,https://www.shopmassystoresslu.com/product/seabelle-tuna-fish-in-wtr-200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0496771401007.jpeg
Pinehill Vanilla Milk 1L,$9.99,grocery-food,https://www.shopmassystoresslu.com/product/phd-tga-vanilla-milk/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/04/0073755101251.jpg
Fruta Kool Kidz Fruit Punch 200Ml,$1.25,grocery-food,https://www.shopmassystoresslu.com/product/fruta-kool-kd-frut-punch-200ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0003361311895.jpg
Tenderoni Penne Rigate 300G,$3.79,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-penne-pasta-300g/,https://www.shopmassystoresslu.com/wp-content/uploads/0049990180104.jpg
Pinehill Apple Juice 1L,$8.50,grocery-food,https://www.shopmassystoresslu.com/product/pinehill-apple-juice-1-lt/,https://www.shopmassystoresslu.com/wp-content/uploads/0073755102580.jpg
Tenderoni Precut Saverpack 170G,$1.59,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-macaroni-saver-pack-170g/,https://www.shopmassystoresslu.com/wp-content/uploads/0060023176385.jpg
Elle & Vire Full Cream Milk 1L,$5.93,grocery-food,https://www.shopmassystoresslu.com/product/elle-vire-uht-whole-milk/,https://www.shopmassystoresslu.com/wp-content/uploads/0345179134039.jpg
Forest Spring Mineral Water 5L,$7.50,grocery-food,https://www.shopmassystoresslu.com/product/forest-spring-mineral-water-5l/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-60.jpg
Brunswick Spicy Thai Chili Tuna 85G,$4.14,grocery-food,https://www.shopmassystoresslu.com/product/tuna-flake-spicy-thai-chili/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0006661337002-1.jpg
Tenderoni Large Elbow 300G,$3.39,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-macaroni-elbow-300g/,https://www.shopmassystoresslu.com/wp-content/uploads/0049990180105.jpg
Ramco Chowmein 200G,$3.50,grocery-food,https://www.shopmassystoresslu.com/product/ramco-chowmein-200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0000000000044-scaled.jpg
