name,price,brand,url,image
"2h-8b Sketch Pencil Set For Art Drawing, 12pcs In Iron Case","
	$7.75
","
			Uncategorized		",https://computerworldslu.com/product/2h-8b-sketch-pencil-set-for-art-drawing-12pcs-in-iron-case/,https://computerworldslu.com/wp-content/uploads/2024/04/1697277139ce124c43fbfc839ef20597c21a5f52bf_square-300x300.png
"Adjustable Height Office Tall Drafting Chair with Lumbar Support, Footrest, Mid Back, Rolling Mesh Swivel Computer Chair for Adults, Standing Desk, Drawing Stool","
","
			Chairs		",https://computerworldslu.com/product/adjustable-height-office-tall-drafting-chair-with-lumbar-support-footrest-mid-back-rolling-mesh-swivel-computer-chair-for-adults-standing-desk-drawing-stool/,https://computerworldslu.com/wp-content/uploads/2024/06/71bVwYGMPVL._AC_SL1500_-300x300.png
Black Ribbed Office Mid-Back PU Leather Executive Task Chair with Arms,"
	$795.00
","
			Chairs		",https://computerworldslu.com/product/black-ribbed-office-mid-back-pu-leather-executive-task-chair-with-arms/,https://computerworldslu.com/wp-content/uploads/2024/07/black-lacoo-task-chairs-t-oc79p0-64_145.png
Blue Racing style Gaming Chair Office Chair Computer Adjustable Leather Chair,"
	$895.00
","
			Chairs		",https://computerworldslu.com/product/blue-racing-style-gaming-chair-office-chair-computer-adjustable-leather-chair/,https://computerworldslu.com/wp-content/uploads/2024/06/blue-lacoo-gaming-chairs-t-ocrc90m3-64_145.png
"Chair, Stackable Banquet Blk 1643001BKBK – 999734","
	$245.00
","
			Chairs		",https://computerworldslu.com/product/chair-stackable-banquet-blk-1643001bkbk-999734/,https://computerworldslu.com/wp-content/uploads/2024/07/999734-300x300.png
"Darkecho Office Chair,Ergonomic Desk Chair with Adjustable Headrest and Lumbar Support,High Back Mesh Computer Chair with Padded Flip-up Armrests,Swivel Task Chair,Tilt Function,Black","
	$1250.00
","
			Chairs		",https://computerworldslu.com/product/darkecho-office-chairergonomic-desk-chair-with-adjustable-headrest-and-lumbar-supporthigh-back-mesh-computer-chair-with-padded-flip-up-armrestsswivel-task-chairtilt-functionblack/,https://computerworldslu.com/wp-content/uploads/2024/07/1-4_1200x-300x300.png
"Flash Furniture Whitney Executive Swivel Chair with Armrests for Office Desk, Mid Back, Black LeatherSoft, Chrome Frame","
	$795.00
","
			Chairs		",https://computerworldslu.com/product/flash-furniture-whitney-executive-swivel-chair-with-armrests-for-office-desk-mid-back-black-leathersoft-chrome-frame/,https://computerworldslu.com/wp-content/uploads/2024/06/61WvyQekoiL._AC_SL1500_-300x300.png
"High Back Executive Office Chair, Ergonomic Leather Computer Chair with Padded Flip Arms, Adjustable Tilt Lock, Swivel Chair for Adults, Work and","
","
			Chairs		",https://computerworldslu.com/product/high-back-executive-office-chair-ergonomic-leather-computer-chair-with-padded-flip-arms-adjustable-tilt-lock-swivel-chair-for-adults-work-and/,https://computerworldslu.com/wp-content/uploads/2024/06/61eNXEri9OL._AC_SL1500_-300x300.png
Kw-Trio Claw Staple Remover,"
	$4.25
","
			Office Supplies		",https://computerworldslu.com/product/kw-trio-claw-staple-remover/,https://computerworldslu.com/wp-content/uploads/2024/04/4714218090079_1200x-300x300.png
Lancaster Table & Seating Black Pattern Fabric Crown Back Stackable Banquet Chair with Silver Vein Frame,"
	$250.00
","
			Chairs		",https://computerworldslu.com/product/lancaster-table-seating-black-pattern-fabric-crown-back-stackable-banquet-chair-with-silver-vein-frame/,https://computerworldslu.com/wp-content/uploads/2024/07/2231812-300x300.png
