name,category,price,img_url,url,product_id
Arcalion Tablets 200mg,Pharmacy,3.5,https://mandcdrugstore.com/files/images/thumbs/ce338cc1a7c527d037bb944c024145b6.jpg,https://mandcdrugstore.com/products/2,2
Bactin Ointment 15g,Non-Prescribed Drugs,12.1,https://mandcdrugstore.com/files/images/thumbs/35f599a4bfddcee901ac83ad70759ad7.jpg,https://mandcdrugstore.com/products/3,3
Becoplex With Iron Capsules 30 count,Non-Prescribed Drugs,22.16,https://mandcdrugstore.com/files/images/thumbs/e99ccfe7fa33a3025746b16164baae00.jpg,https://mandcdrugstore.com/products/4,4
Becoplex Liquid Iron Syrup 125ml,Non-Prescribed Drugs,19.8,https://mandcdrugstore.com/files/images/thumbs/a6c62d6ca4d5b9300b7d9bfbe27e9a97.jpg,https://mandcdrugstore.com/products/5,5
Becoplex Syrup 125ml,Non-Prescribed Drugs,18.3,https://mandcdrugstore.com/files/images/thumbs/483607a00cab7e9248f3b1764d67b674.jpg,https://mandcdrugstore.com/products/6,6
BNT Antibiotic Cream 15g,Non-Prescribed Drugs,14.95,https://mandcdrugstore.com/files/images/thumbs/7fe7922b3006ff178770747d3f4bce89.jpg,https://mandcdrugstore.com/products/8,8
La Buldemas,Non-Prescribed Drugs,40.01,https://mandcdrugstore.com/files/images/thumbs/77f53becf79320e5f33c611fde64928f.jpg,https://mandcdrugstore.com/products/10,10
Belladonna Pain Relief  Plaster  19 x 12.5cm 1 count,Non-Prescribed Drugs,11.0,https://mandcdrugstore.com/files/images/thumbs/6608947025ecc377e76aa30c3d75581f.jpg,https://mandcdrugstore.com/products/14,14
Diphenel Expectorant 125ml,Non-Prescribed Drugs,12.3,https://mandcdrugstore.com/files/images/thumbs/d263ae833ac9f9fa3ff6b27fa4378b68.jpg,https://mandcdrugstore.com/products/15,15
Murine Irritation & Redness Relief Eye Drops 10ml,Non-Prescribed Drugs,19.75,https://mandcdrugstore.com/files/images/thumbs/b929ee422ec94cdc12a64c60236bed4c.jpg,https://mandcdrugstore.com/products/16,16
Gravinate Syrup 30ml,Non-Prescribed Drugs,8.75,https://mandcdrugstore.com/files/images/thumbs/72f840b77017b4e7415f6f5ae14faf22.jpg,https://mandcdrugstore.com/products/17,17
Gravinate Syrup 125ml,Non-Prescribed Drugs,15.0,https://mandcdrugstore.com/files/images/thumbs/68826b46f0ab19d06a7ac2da7d73590e.jpg,https://mandcdrugstore.com/products/18,18
Histatussin DM Cough Suppressant Respiratory Decongestant 125ml,Non-Prescribed Drugs,17.45,https://mandcdrugstore.com/files/images/thumbs/a67863eb0a41caa27b0a865bfce0471f.jpg,https://mandcdrugstore.com/products/20,20
Histatussin PE Syrup Cough Suppressant 125ml,Non-Prescribed Drugs,16.85,https://mandcdrugstore.com/files/images/thumbs/5c0a04017afc0566f942b5962ffb3713.jpg,https://mandcdrugstore.com/products/21,21
Histatussin  Cold Allergy Symptoms Relief 125ml,Non-Prescribed Drugs,19.05,https://mandcdrugstore.com/files/images/thumbs/c136dcf96c8ea8265f32402cabaa7b97.jpg,https://mandcdrugstore.com/products/22,22
IFA Liquid Syrup 125ml,Non-Prescribed Drugs,16.8,https://mandcdrugstore.com/files/images/thumbs/1f42fdd20bbe20e0c781405b1c66cf59.jpg,https://mandcdrugstore.com/products/23,23
Piriton Syrup Glaxo Symptomatic Antihistamines Allergic Conditions Relief 150ml,Non-Prescribed Drugs,29.95,https://mandcdrugstore.com/files/images/thumbs/f90c96e8de0ba6441943e681799a121b.jpg,https://mandcdrugstore.com/products/28,28
Zentel Suspension Parasitic Infections Treatment 10ml,Non-Prescribed Drugs,14.1,https://mandcdrugstore.com/files/images/thumbs/b635be131386757da10008e2de865111.jpg,https://mandcdrugstore.com/products/31,31
Copyrite Copy Paper Legal 8.5 X 14  f  c,Stationery,28.0,https://mandcdrugstore.com/files/images/thumbs/3d361e2651b0dbc9af6e877187ce872a.jpg,https://mandcdrugstore.com/products/32,32
Mayfair Panty Hose One Size Assorted,Toiletries,9.95,https://mandcdrugstore.com/files/images/thumbs/94bc7d6fd8884b85d461d2231c017aa2.jpg,https://mandcdrugstore.com/products/33,33
Mayfair Ultra Sheer Panty Hose One Size Assorted 3 pack,Toiletries,26.35,https://mandcdrugstore.com/files/images/thumbs/3a2bb262823c1128844ab25bd90f4fe1.jpg,https://mandcdrugstore.com/products/34,34
Copyrite Copy Paper White A4 8.5X11,Stationery,24.0,https://mandcdrugstore.com/files/images/thumbs/9b924356f877476fd1d563ed162d6571.jpg,https://mandcdrugstore.com/products/35,35
